date,year,month,region,region_label,longitude,latitude,sst_anomaly,enso_phase,source
1998-08,1998,8,central_pacific,Central Pacific,190,0,0.009,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-08,1998,8,nino_34,Nino 3.4,210,0,-0.454,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-08,1998,8,eastern_pacific,Eastern Pacific,250,0,-1.874,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-09,1998,9,western_pacific,Western Pacific,145,0,0.680,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-09,1998,9,central_pacific,Central Pacific,190,0,-1.124,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-09,1998,9,nino_34,Nino 3.4,210,0,-2.068,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-09,1998,9,eastern_pacific,Eastern Pacific,250,0,-2.186,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-10,1998,10,western_pacific,Western Pacific,145,0,0.204,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-10,1998,10,central_pacific,Central Pacific,190,0,-1.394,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-10,1998,10,nino_34,Nino 3.4,210,0,-1.935,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-10,1998,10,eastern_pacific,Eastern Pacific,250,0,-3.106,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-11,1998,11,western_pacific,Western Pacific,145,0,0.247,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-11,1998,11,central_pacific,Central Pacific,190,0,-1.488,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-11,1998,11,nino_34,Nino 3.4,210,0,-2.167,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-11,1998,11,eastern_pacific,Eastern Pacific,250,0,-2.885,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-12,1998,12,western_pacific,Western Pacific,145,0,0.517,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-12,1998,12,central_pacific,Central Pacific,190,0,-1.563,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-12,1998,12,nino_34,Nino 3.4,210,0,-2.337,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1998-12,1998,12,eastern_pacific,Eastern Pacific,250,0,-2.123,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-01,1999,1,western_pacific,Western Pacific,145,0,0.650,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-01,1999,1,central_pacific,Central Pacific,190,0,-2.522,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-01,1999,1,nino_34,Nino 3.4,210,0,-2.474,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-01,1999,1,eastern_pacific,Eastern Pacific,250,0,-1.795,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-02,1999,2,western_pacific,Western Pacific,145,0,0.527,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1999-02,1999,2,central_pacific,Central Pacific,190,0,-2.476,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
